"filename", "language", "YAML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-1200-windows-qt-validation-backlog.md", "Markdown", 0, 77, 0, 0, 30, 107
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-1530-windows-post-w03-status-and-w02-slideshow.md", "Markdown", 0, 127, 0, 0, 59, 186
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-w-03-b-lite-3layer-audit.md", "Markdown", 0, 42, 0, 0, 15, 57
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\apply_settings.py", "Python", 0, 0, 8, 0, 0, 8
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\apply_surface.py", "Python", 0, 0, 81, 1, 27, 109
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\cli.py", "Python", 0, 0, 7, 6, 2, 15
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_backend.py", "Python", 0, 0, -41, 0, 7, -34
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_dialog_builders.py", "Python", 0, 0, 6, 0, 2, 8
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_action_handlers.py", "Python", 0, 0, 64, 2, 6, 72
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_file_dialog_flow.py", "Python", 0, 0, 5, 1, 2, 8
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_object_registry.py", "Python", 0, 0, 1, 0, 0, 1
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_preview.py", "Python", 0, 0, 19, 0, 5, 24
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_settings_dialogs.py", "Python", 0, 0, 19, 0, 4, 23
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_slideshow_ui.py", "Python", 0, 0, 25, 1, 4, 30
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_sync.py", "Python", 0, 0, 20, 1, 5, 26
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_tab_builders.py", "Python", 0, 0, 8, 0, 1, 9
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_backend.py", "Python", 0, 0, 741, 108, 174, 1023
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_dialogs.py", "Python", 0, 0, 461, 60, 115, 636
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_layout_builders.py", "Python", 0, 0, 155, 50, 59, 264
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_object_registry.py", "Python", 0, 0, 195, 14, 19, 228
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_signal_wiring.py", "Python", 0, 0, 181, 35, 38, 254
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_stylesheet.py", "Python", 0, 0, 49, 19, 8, 76
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_main.py", "Python", 0, 0, 347, 52, 98, 497
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_margins.py", "Python", 0, 0, 301, 54, 80, 435
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_slideshow.py", "Python", 0, 0, 180, 44, 57, 281
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tray_adapter.py", "Python", 0, 0, 204, 67, 74, 345
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_widget_helpers.py", "Python", 0, 0, 199, 47, 74, 320
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\app_qt.py", "Python", 0, 0, 90, 3, 26, 119
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\controllers\optimize_controller.py", "Python", 0, 0, 6, 1, 3, 10
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resource_access.py", "Python", 0, 0, 7, 5, 3, 15
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\main_window.py", "Python", 0, 0, 66, 2, 13, 81
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\main_window_preview.py", "Python", 0, 0, -13, 0, 1, -12
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\optimize_settings.py", "Python", 0, 0, 9, 0, 2, 11
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\settings.py", "Python", 0, 0, 13, 0, 1, 14
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\windows_wallpaper.py", "Python", 0, 0, 33, 2, 12, 47
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\workspace.py", "Python", 0, 0, 117, 8, 21, 146
"c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_apply_cli.py", "Python", 0, 0, 14, 1, 6, 21
"c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_cli_validation.py", "Python", 0, 0, 62, 4, 16, 82
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\conftest.py", "Python", 0, 0, 9, 10, 8, 27
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_app_qt_entrypoint.py", "Python", 0, 0, 134, 15, 68, 217
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_gtk_runtime_action_handlers.py", "Python", 0, 0, 53, 0, 28, 81
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_gtk_runtime_backend.py", "Python", 0, 0, 80, 0, 24, 104
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_main_window_signals.py", "Python", 0, 0, 113, 1, 31, 145
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_dialogs.py", "Python", 0, 0, 229, 30, 119, 378
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_layout.py", "Python", 0, 0, 101, 22, 55, 178
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_signal_wiring.py", "Python", 0, 0, 525, 69, 225, 819
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_stylesheet.py", "Python", 0, 0, 72, 26, 65, 163
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_tab_main.py", "Python", 0, 0, 164, 24, 86, 274
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_tab_margins.py", "Python", 0, 0, 129, 30, 76, 235
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_tab_slideshow.py", "Python", 0, 0, 87, 36, 65, 188
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_tray_adapter.py", "Python", 0, 0, 172, 34, 123, 329
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_widget_helpers.py", "Python", 0, 0, 160, 36, 114, 310
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_slideshow_output_issue317.py", "Python", 0, 0, 241, 10, 82, 333
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_apply_settings.py", "Python", 0, 0, 13, 0, 4, 17
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_apply_surface.py", "Python", 0, 0, 20, 0, 11, 31
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_optimize_settings.py", "Python", 0, 0, 15, 0, 4, 19
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_settings_apply.py", "Python", 0, 0, 34, 0, 10, 44
"c:\Users\oggy_\Develop\Repos\Harite\tests\test_windows_wallpaper.py", "Python", 0, 0, 31, 0, 11, 42
"c:\Users\oggy_\Develop\Repos\Harite\tests\workspace\test_workspace.py", "Python", 0, 0, 4, -2, 2, 4
"c:\Users\oggy_\Develop\Repos\Harite\tests\workspace\test_workspace_windows.py", "Python", 0, 0, 112, 1, 31, 144
"Total", "-", 8, 1835, 6137, 931, 2895, 11806
